"index","id","fk_product","fk_package"
2,"MBpydIcB5KfvoUHSJEaX_packaging_6","MBpydIcB5KfvoUHSJEaX","packaging_6"
2,"MBpydIcB5KfvoUHSJEaX_packaging_9","MBpydIcB5KfvoUHSJEaX","packaging_9"
4,"product_4605_packaging_4","product_4605","packaging_4"
5,"product_865_packaging_12","product_865","packaging_12"
6,"product_1186_packaging_24","product_1186","packaging_24"
7,"product_29779_packaging_5","product_29779","packaging_5"
7,"product_29779_packaging_10","product_29779","packaging_10"
8,"product_327_packaging_6","product_327","packaging_6"
9,"product_275_packaging_6","product_275","packaging_6"
10,"product_288_packaging_6","product_288","packaging_6"
11,"product_3338_packaging_6","product_3338","packaging_6"
12,"product_3762_packaging_12","product_3762","packaging_12"
13,"product_313_packaging_6","product_313","packaging_6"
14,"product_3407_packaging_6","product_3407","packaging_6"
14,"product_3407_packaging_12","product_3407","packaging_12"
15,"product_360_packaging_6","product_360","packaging_6"
16,"product_19565_packaging_6","product_19565","packaging_6"
17,"product_421_packaging_6","product_421","packaging_6"
18,"product_395_packaging_6","product_395","packaging_6"
19,"product_677_packaging_6","product_677","packaging_6"
20,"product_447_packaging_6","product_447","packaging_6"
21,"product_780_packaging_6","product_780","packaging_6"
22,"product_560_packaging_6","product_560","packaging_6"
23,"product_408_packaging_4","product_408","packaging_4"
24,"product_462_packaging_6","product_462","packaging_6"
25,"product_567_packaging_6","product_567","packaging_6"
26,"product_617_packaging_6","product_617","packaging_6"
27,"product_647_packaging_6","product_647","packaging_6"
28,"product_406_packaging_6","product_406","packaging_6"
29,"product_696_packaging_12","product_696","packaging_12"
30,"product_866_packaging_12","product_866","packaging_12"
31,"product_377_packaging_6","product_377","packaging_6"
32,"product_594_packaging_6","product_594","packaging_6"
33,"product_615_packaging_6","product_615","packaging_6"
34,"product_697_packaging_6","product_697","packaging_6"
35,"product_602_packaging_6","product_602","packaging_6"
36,"product_29780_packaging_5","product_29780","packaging_5"
36,"product_29780_packaging_10","product_29780","packaging_10"
37,"product_454_packaging_24","product_454","packaging_24"
38,"product_424_packaging_6","product_424","packaging_6"
40,"product_1391_packaging_6","product_1391","packaging_6"
42,"product_1359_packaging_12","product_1359","packaging_12"
45,"product_1413_packaging_6","product_1413","packaging_6"
47,"product_1544_packaging_6","product_1544","packaging_6"
48,"product_1449_packaging_12","product_1449","packaging_12"
49,"product_20029_packaging_12","product_20029","packaging_12"
50,"product_1432_packaging_6","product_1432","packaging_6"
51,"product_1319_packaging_12","product_1319","packaging_12"
52,"product_1349_packaging_12","product_1349","packaging_12"
53,"product_1311_packaging_6","product_1311","packaging_6"
55,"product_1489_packaging_6","product_1489","packaging_6"
56,"product_5769_packaging_6","product_5769","packaging_6"
57,"product_1329_packaging_6","product_1329","packaging_6"
60,"product_29242_packaging_12","product_29242","packaging_12"
61,"product_854_packaging_12","product_854","packaging_12"
62,"product_1360_packaging_12","product_1360","packaging_12"
63,"product_1385_packaging_6","product_1385","packaging_6"
64,"product_31948_packaging_20","product_31948","packaging_20"
65,"product_737_packaging_12","product_737","packaging_12"
66,"product_1845_packaging_6","product_1845","packaging_6"
67,"product_1571_packaging_6","product_1571","packaging_6"
68,"product_1690_packaging_6","product_1690","packaging_6"
69,"product_14919_packaging_6","product_14919","packaging_6"
70,"product_1702_packaging_6","product_1702","packaging_6"
71,"product_1695_packaging_6","product_1695","packaging_6"
72,"product_1848_packaging_6","product_1848","packaging_6"
73,"product_1706_packaging_12","product_1706","packaging_12"
74,"product_1824_packaging_6","product_1824","packaging_6"
75,"product_1812_packaging_6","product_1812","packaging_6"
76,"product_1627_packaging_12","product_1627","packaging_12"
78,"product_957_packaging_12","product_957","packaging_12"
79,"product_1827_packaging_6","product_1827","packaging_6"
80,"product_1842_packaging_6","product_1842","packaging_6"
82,"product_2089_packaging_6","product_2089","packaging_6"
83,"product_1858_packaging_6","product_1858","packaging_6"
84,"product_1870_packaging_6","product_1870","packaging_6"
85,"product_2057_packaging_4","product_2057","packaging_4"
86,"product_1761_packaging_6","product_1761","packaging_6"
87,"product_1764_packaging_6","product_1764","packaging_6"
88,"product_1791_packaging_6","product_1791","packaging_6"
89,"product_1788_packaging_6","product_1788","packaging_6"
90,"product_1852_packaging_6","product_1852","packaging_6"
93,"product_2149_packaging_6","product_2149","packaging_6"
94,"product_2151_packaging_6","product_2151","packaging_6"
95,"product_10783_packaging_20","product_10783","packaging_20"
96,"product_2147_packaging_12","product_2147","packaging_12"
97,"product_31949_packaging_20","product_31949","packaging_20"
98,"product_10778_packaging_50","product_10778","packaging_50"
100,"product_276_packaging_24","product_276","packaging_24"
101,"product_10779_packaging_24","product_10779","packaging_24"
102,"product_10782_packaging_20","product_10782","packaging_20"
103,"product_1569_packaging_6","product_1569","packaging_6"
104,"product_10777_packaging_50","product_10777","packaging_50"
106,"product_9061_packaging_6","product_9061","packaging_6"
107,"product_2320_packaging_6","product_2320","packaging_6"
108,"product_2278_packaging_12","product_2278","packaging_12"
110,"product_9585_packaging_24","product_9585","packaging_24"
111,"product_2146_packaging_6","product_2146","packaging_6"
112,"product_8915_packaging_12","product_8915","packaging_12"
113,"product_9748_packaging_12","product_9748","packaging_12"
114,"product_2419_packaging_6","product_2419","packaging_6"
115,"product_2153_packaging_6","product_2153","packaging_6"
116,"product_2492_packaging_6","product_2492","packaging_6"
117,"product_2356_packaging_12","product_2356","packaging_12"
118,"product_2499_packaging_6","product_2499","packaging_6"
120,"product_582_packaging_6","product_582","packaging_6"
121,"product_2355_packaging_6","product_2355","packaging_6"
122,"product_2433_packaging_12","product_2433","packaging_12"
123,"product_2427_packaging_6","product_2427","packaging_6"
124,"product_2449_packaging_6","product_2449","packaging_6"
125,"product_367_packaging_6","product_367","packaging_6"
126,"product_2455_packaging_6","product_2455","packaging_6"
128,"product_29243_packaging_12","product_29243","packaging_12"
129,"product_2516_packaging_6","product_2516","packaging_6"
130,"product_2373_packaging_6","product_2373","packaging_6"
132,"product_2475_packaging_6","product_2475","packaging_6"
133,"product_2379_packaging_6","product_2379","packaging_6"
134,"product_2411_packaging_2","product_2411","packaging_2"
135,"product_2349_packaging_4","product_2349","packaging_4"
136,"product_1598_packaging_6","product_1598","packaging_6"
138,"product_2544_packaging_6","product_2544","packaging_6"
139,"product_2571_packaging_6","product_2571","packaging_6"
140,"product_2638_packaging_6","product_2638","packaging_6"
141,"product_2718_packaging_6","product_2718","packaging_6"
142,"product_2620_packaging_6","product_2620","packaging_6"
