"index","id","name"
0,"manufacturer_46","БАЛКАМ"
1,"manufacturer_19","ДЕВИН"
2,"manufacturer_26","НЕСТЛЕ"
3,"manufacturer_51","БИБЕНДУМ"
4,"manufacturer_82","ДРУГИ"
5,"manufacturer_113","ПЕРНО РИКАР БЪЛГАРИЯ"
6,"manufacturer_52","БИЛКОКООП"
7,"manufacturer_316","СЕЛСКО ПИЛЕ"
8,"manufacturer_102","МИЛФОРД"
9,"manufacturer_39","АВЕНДИ"
10,"manufacturer_94","СЕЛЕКТЕД БРАНДС КО"
11,"manufacturer_103","МОЛИНАРИ"
12,"manufacturer_99","МАСПЕКС"
13,"manufacturer_105","МУЛТИПАК"
14,"manufacturer_97","МАЙ ДЕЙ"
15,"manufacturer_209","Д-А"
16,"manufacturer_109","ОПТИМИСТ1"
17,"manufacturer_118","РОЙС ВИКТОРИЯ НУТС"
18,"manufacturer_74","ДЕМЕКС 98"
19,"manufacturer_77","ДОМЕЙН БОЙАР"
20,"manufacturer_418","ШИШАНЕЙШЪН"
21,"manufacturer_182","МИСТРАЛ"
22,"manufacturer_387","АЛТА БЪЛГАРИЯ"
23,"manufacturer_115","ПРОФТРЕЙД"
24,"manufacturer_138","ЮНАЙТЕД БРАНДС"
25,"manufacturer_20","ВИНПРОМ ПЕЩЕРА"
26,"manufacturer_88","КАРТЕЛ"
27,"manufacturer_57","ВАЙК ГРУП"
28,"manufacturer_44","ЕЙНДЖЪЛС ЕСТЕЙТ"
29,"manufacturer_127","УАЙН МАРКЕТ"
30,"manufacturer_98","МАКСИЪМ"
31,"manufacturer_128","УАЙНБОКС"
32,"manufacturer_126","ДЕЛИОН"
33,"manufacturer_195","ДЖАПАН ТАБАКО"
34,"manufacturer_198","КАЛИМАН"
35,"manufacturer_156","СУИТ+"
36,"manufacturer_72","ГЕСЛИН"
37,"manufacturer_25","МОНДЕЛИЙЗ"
38,"manufacturer_106","НЕГОСИАН"
39,"manufacturer_12","КОКА КОЛА"
40,"manufacturer_36","ГРАДУС"
41,"manufacturer_164","ЗАЙО БАЙО"
42,"manufacturer_415","ЪНДЕД"
43,"manufacturer_421","ДК ТРЕЙД ИНТЕРНЕШЪНЪЛ"
44,"manufacturer_123","СОФ СТОК"
45,"manufacturer_131","ФЛОРИНА"
46,"manufacturer_108","НОЙБУРГЕР"
47,"manufacturer_16","ПРЕСТИЖ 96"
48,"manufacturer_38","АВЕКСИМ"
49,"manufacturer_13","Б.К. ГОРНА БАНЯ"
50,"manufacturer_280","ОЛИМПИК БРЮЛЪРИС"
51,"manufacturer_112","КУАДРАНТ БЕВЪРИДЖИС"
52,"manufacturer_161","БИФА"
53,"manufacturer_212","МИХАЛКОВО"
54,"manufacturer_134","ХИСАРЯ"
55,"manufacturer_258","АФУЗОВ"
56,"manufacturer_45","БАЛДАРАН"
57,"manufacturer_79","ДРАГОЙНА"
58,"manufacturer_81","ДРИНКЛАБ"
59,"manufacturer_111","ПЕЛИСТЕРКА"
60,"manufacturer_136","ШАРК"
61,"manufacturer_132","ХЕЛ ЕНЕРДЖИ"
62,"manufacturer_293","МЕЛИСА КИКИЗАС"
63,"manufacturer_308","МАНИЯ-2009-ШУМЕН"
64,"manufacturer_179","ИНКОФУДС"
65,"manufacturer_271","ЕЛ САБОР"
66,"manufacturer_66","ВИНИ СЛИВЕН"
67,"manufacturer_273","ФУУД КЕЪР"
68,"manufacturer_116","ПФАНЕР"
69,"manufacturer_104","МУЛТИ АРТ"
70,"manufacturer_114","ПЛАТИНУМ БРАНДС"
71,"manufacturer_135","ЧЕРНОМОРСКО ЗЛАТО ПОМОРИЕ"
72,"manufacturer_129","Ф И Б ТРЕЙД"
73,"manufacturer_169","ДИМЕС"
74,"manufacturer_172","ТИ БЕСТ"
75,"manufacturer_117","РАУХ"
76,"manufacturer_260","КАТАНИ ТРЕЙД"
77,"manufacturer_92","ЛВК ВИНПРОМ ТЪРГОВИЩЕ"
78,"manufacturer_366","АЙС ВАЙП"
79,"manufacturer_367","НЕОПАК"
80,"manufacturer_42","АЛОЕ ВЕРА"
81,"manufacturer_151","ДИМАГО 1"
82,"manufacturer_14","НОВА ТРЕЙД"
83,"manufacturer_61","ВИНАРСКА ИЗБА ТОДОРОФФ"
84,"manufacturer_107","НОВА БРАЗИЛИЯ"
85,"manufacturer_50","БИАНЧИ"
86,"manufacturer_91","ЛАВАЦА"
87,"manufacturer_47","ДОМЕЙН МЕНАДА"
88,"manufacturer_394","СИЙУАЙНС"
89,"manufacturer_175","БЕСТ ФУУДС"
90,"manufacturer_263","РАЙСЛАНД"
91,"manufacturer_262","МАРАТОН 62"
92,"manufacturer_181","КИНДЕР"
93,"manufacturer_89","КУУЛСПИРИТ"
94,"manufacturer_119","СЕЛЕСТА ТРЕЙДИНГ"
