"index","id","name"
0,"packaging_1","x1 бр."
1,"packaging_6","x6 бр."
2,"packaging_7","x7 бр."
3,"packaging_5","x5 бр."
4,"packaging_2","x2 бр."
5,"packaging_3","x3 бр."
6,"packaging_4","x4 бр."
7,"packaging_10","x10 бр."
8,"packaging_13","x13 бр."
9,"packaging_15","x15 бр."
10,"packaging_11","x11 бр."
11,"packaging_9","x9 бр."
12,"packaging_12","x12 бр."
13,"packaging_14","x14 бр."
14,"packaging_16","x16 бр."
15,"packaging_8","x8 бр."
16,"packaging_18","x18 бр."
17,"packaging_24","x24 бр."
18,"packaging_20","x20 бр."
19,"packaging_17","x17 бр."
20,"packaging_19","x19 бр."
21,"packaging_21","x21 бр."
22,"packaging_23","x23 бр."
23,"packaging_25","x25 бр."
24,"packaging_22","x22 бр."
25,"packaging_27","x27 бр."
26,"packaging_30","x30 бр."
27,"packaging_33","x33 бр."
28,"packaging_35","x35 бр."
29,"packaging_26","x26 бр."
30,"packaging_28","x28 бр."
31,"packaging_32","x32 бр."
32,"packaging_34","x34 бр."
33,"packaging_36","x36 бр."
34,"packaging_42","x42 бр."
35,"packaging_54","x54 бр."
36,"packaging_50","x50 бр."
37,"packaging_40","x40 бр."
38,"packaging_45","x45 бр."
39,"packaging_55","x55 бр."
40,"packaging_60","x60 бр."
41,"packaging_64","x64 бр."
42,"packaging_48","x48 бр."
43,"packaging_100","x100 бр."
44,"packaging_120","x120 бр."
45,"packaging_150","x150 бр."
46,"packaging_144","x144 бр."
47,"packaging_72","x72 бр."
48,"packaging_80","x80 бр."
49,"packaging_90","x90 бр."
50,"packaging_75","x75 бр."
51,"packaging_96","x96 бр."
52,"packaging_250","x250 бр."
53,"packaging_504","x504 бр."
