"index","id","name","fk_distributor"
0,"HfyhJoYB-fEN8joI7vxS","","distributor_2016"
1,"B87lBoYBk0eu2qzdSvJx","","company_1"
2,"Bs7kBoYBk0eu2qzdGPIN","","company_1"
3,"store_manufacturer_46","","manufacturer_46"
4,"store_manufacturer_19","","manufacturer_19"
5,"store_manufacturer_26","","manufacturer_26"
6,"store_manufacturer_51","","manufacturer_51"
7,"store_manufacturer_82","","manufacturer_82"
8,"store_manufacturer_113","","manufacturer_113"
9,"store_manufacturer_52","","manufacturer_52"
10,"store_manufacturer_316","","manufacturer_316"
11,"store_manufacturer_102","","manufacturer_102"
12,"store_manufacturer_39","","manufacturer_39"
13,"store_manufacturer_94","","manufacturer_94"
14,"store_manufacturer_103","","manufacturer_103"
15,"store_manufacturer_99","","manufacturer_99"
16,"store_manufacturer_105","","manufacturer_105"
17,"store_manufacturer_97","","manufacturer_97"
18,"store_manufacturer_209","","manufacturer_209"
19,"store_manufacturer_109","","manufacturer_109"
20,"store_manufacturer_118","","manufacturer_118"
21,"store_manufacturer_74","","manufacturer_74"
22,"store_manufacturer_77","","manufacturer_77"
23,"store_manufacturer_418","","manufacturer_418"
24,"store_manufacturer_182","","manufacturer_182"
25,"store_manufacturer_387","","manufacturer_387"
26,"store_manufacturer_115","","manufacturer_115"
27,"store_manufacturer_138","","manufacturer_138"
28,"store_manufacturer_20","","manufacturer_20"
29,"store_manufacturer_88","","manufacturer_88"
30,"store_manufacturer_57","","manufacturer_57"
31,"store_manufacturer_44","","manufacturer_44"
32,"store_manufacturer_127","","manufacturer_127"
33,"store_manufacturer_98","","manufacturer_98"
34,"store_manufacturer_128","","manufacturer_128"
35,"store_manufacturer_126","","manufacturer_126"
36,"store_manufacturer_195","","manufacturer_195"
37,"store_manufacturer_198","","manufacturer_198"
38,"store_manufacturer_156","","manufacturer_156"
39,"store_manufacturer_72","","manufacturer_72"
40,"store_manufacturer_25","","manufacturer_25"
41,"store_manufacturer_106","","manufacturer_106"
42,"store_manufacturer_12","","manufacturer_12"
43,"store_manufacturer_36","","manufacturer_36"
44,"store_manufacturer_164","","manufacturer_164"
45,"store_manufacturer_415","","manufacturer_415"
46,"store_manufacturer_421","","manufacturer_421"
47,"store_manufacturer_123","","manufacturer_123"
48,"store_manufacturer_131","","manufacturer_131"
49,"store_manufacturer_108","","manufacturer_108"
50,"store_manufacturer_16","","manufacturer_16"
51,"store_manufacturer_38","","manufacturer_38"
52,"store_manufacturer_13","","manufacturer_13"
53,"store_manufacturer_280","","manufacturer_280"
54,"store_manufacturer_112","","manufacturer_112"
